Existing VETS.GOV url,Existing VA.GOV url,NEW URL,Notes,
www.vets.gov/education/apply-for-education-benefits/application/1995,N/A,/education/change-gi-bill-benefits/request-change-form-22-1995/,NO CHANGE,Revert back to Vets URL
www.vets.gov/education/apply-for-education-benefits/application/5495,N/A,/education/change-gi-bill-benefits/dependent-request-change-form-22-5495/,NO CHANGE,Revert back to Vets URL
N/A,www.benefits.va.gov/GIBILL/FGIB/Restoration.asp,N/A,NO CHANGE,
www.vets.gov/education/opt-out-information-sharing/ ,N/A,/education/information-sharing-opt-out/,NO CHANGE,Revert back to Vets URL
www.vets.gov/education/opt-out-information-sharing/opt-out-form-0993/claimant-information,N/A,/education/information-sharing-opt-out/opt-out-form-0993/,NO CHANGE,Revert back to Vets URL
www.vets.gov/gi-bill-comparison-tool,N/A,/education/gi-bill-school-comparison-tool/,NO CHANGE,Revert back to Vets URL
www.vets.gov/education/rates/,N/A,/education/benefit-rates/,,
www.vets.gov/education/tools-programs/locate-a-school/,www.benefits.va.gov/gibill/school_decision.asp,/education/choosing-a-school/,,
N/A,www.benefits.va.gov/gibill/choosing_a_school.asp,/education/choosing-a-school/,,
N/A,www.benefits.va.gov/gibill/school_locator.asp,/education/choosing-a-school/,,
www.vets.gov/education/tools-programs/principles-excellence-program/,www.benefits.va.gov/gibill/principles_of_excellence.asp,/education/choosing-a-school/principles-of-excellence/,,
N/A,inquiry.vba.va.gov/weamspub/buildSearchInstitutionCriteria.do;jsessionid=qtMbSxQFpzyL7GpnQrtnNGv6G9CGQQvb2YqM9Cvw3vB2pv2lXhfJ!-1531379871,N/A,NO CHANGE,
N/A,www.benefits.va.gov/gibill/resources/education_resources/debt_info.asp,N/A,NO CHANGE,
N/A,www.benefits.va.gov/gibill/contact_us.asp,N/A,NO CHANGE,
N/A,gibill.custhelp.va.gov/app/answers/detail/a_id/523 ,N/A,NO CHANGE,
N/A,www.benefits.va.gov/gibill/regional_processing.asp ,N/A,NO CHANGE,
N/A,www.benefits.va.gov/GIBILL/Feedback.asp,N/A,NO CHANGE,
www.vets.gov/education/gi-bill-school-feedback/,N/A,/education/submit-school-feedback,"Not Live Yet
NO CHANGE",Revert back to Vets URL
N/A,www.benefits.va.gov/gibill/school_decision.asp,N/A,NO CHANGE,
N/A,www.benefits.va.gov/gibill/choosing_a_school.asp,N/A,NO CHANGE,
N/A,www.benefits.va.gov/gibill/non_va_resources.asp,N/A,NO CHANGE,
N/A,www.benefits.va.gov/gibill/comparison_tool.asp,N/A,NO CHANGE,
